"lac","mu","K","gam","laa"
0.4,0,20,0.001,0.1
0.7,0,20,0.001,0.1
0.4,0.3,20,0.001,0.1
0.7,0.3,20,0.001,0.1
0.4,0,50,0.001,0.1
0.7,0,50,0.001,0.1
0.4,0.3,50,0.001,0.1
0.7,0.3,50,0.001,0.1
0.4,0,100,0.001,0.1
0.7,0,100,0.001,0.1
0.4,0.3,100,0.001,0.1
0.7,0.3,100,0.001,0.1
0.4,0,20,0.002,0.1
0.7,0,20,0.002,0.1
0.4,0.3,20,0.002,0.1
0.7,0.3,20,0.002,0.1
0.4,0,50,0.002,0.1
0.7,0,50,0.002,0.1
0.4,0.3,50,0.002,0.1
0.7,0.3,50,0.002,0.1
0.4,0,100,0.002,0.1
0.7,0,100,0.002,0.1
0.4,0.3,100,0.002,0.1
0.7,0.3,100,0.002,0.1
0.4,0,20,0.001,1
0.7,0,20,0.001,1
0.4,0.3,20,0.001,1
0.7,0.3,20,0.001,1
0.4,0,50,0.001,1
0.7,0,50,0.001,1
0.4,0.3,50,0.001,1
0.7,0.3,50,0.001,1
0.4,0,100,0.001,1
0.7,0,100,0.001,1
0.4,0.3,100,0.001,1
0.7,0.3,100,0.001,1
0.4,0,20,0.002,1
0.7,0,20,0.002,1
0.4,0.3,20,0.002,1
0.7,0.3,20,0.002,1
0.4,0,50,0.002,1
0.7,0,50,0.002,1
0.4,0.3,50,0.002,1
0.7,0.3,50,0.002,1
0.4,0,100,0.002,1
0.7,0,100,0.002,1
0.4,0.3,100,0.002,1
0.7,0.3,100,0.002,1
