"lac","mu","K","gam","laa","rep"
0.4,0,20,0.003,0.1,1
0.7,0,20,0.003,0.1,1
0.4,0.3,20,0.003,0.1,1
0.7,0.3,20,0.003,0.1,1
0.4,0,100,0.003,0.1,1
0.7,0,100,0.003,0.1,1
0.4,0.3,100,0.003,0.1,1
0.7,0.3,100,0.003,0.1,1
0.4,0,20,0.009,0.1,1
0.7,0,20,0.009,0.1,1
0.4,0.3,20,0.009,0.1,1
0.7,0.3,20,0.009,0.1,1
0.4,0,100,0.009,0.1,1
0.7,0,100,0.009,0.1,1
0.4,0.3,100,0.009,0.1,1
0.7,0.3,100,0.009,0.1,1
0.4,0,20,0.003,1,1
0.7,0,20,0.003,1,1
0.4,0.3,20,0.003,1,1
0.7,0.3,20,0.003,1,1
0.4,0,100,0.003,1,1
0.7,0,100,0.003,1,1
0.4,0.3,100,0.003,1,1
0.7,0.3,100,0.003,1,1
0.4,0,20,0.009,1,1
0.7,0,20,0.009,1,1
0.4,0.3,20,0.009,1,1
0.7,0.3,20,0.009,1,1
0.4,0,100,0.009,1,1
0.7,0,100,0.009,1,1
0.4,0.3,100,0.009,1,1
0.7,0.3,100,0.009,1,1
